,attribute:pa_leo-title,parent_sku,stock,regular_price
0,LAID TO REST (W/S) (DVD),10011203,1,0
1,"LIBRARIAN, THE (DVD)",10011204,1,0
2,SEPTEMBER 11 (MULTILINGUAL)(DVD),10011205,1,0
3,TMNT: MOVIE (BLUE-RAY),10011206,1,0
4,JUST GENDER  (DVD),10011207,1,0
5,ULTIMATE WAVE TAHITI 2D & 3D IMAX (B/R),10011208,1,0
6,BROTHERS QUAY COLLECTION  (DVD),10011209,1,0
7,BRUCE ALMIGHTY (DVD),10011210,1,0
8,BLUETORCH (DVD),10011211,1,0
9,"CFB, MAT HOFFMAN'S: AM SERIES (DVD)",10012059,1,0
10,LEGALLY BLONDE 2: RED WHITE & BLO (DVD),10012060,1,0
11,SPIRIT SPACE: JOURNEY/YOUR CONSCIOUSNESS,10011212,1,0
12,TEACHINGS ON MILAREPA  (DVD),10011213,1,0
13,2012 A WRINKLE IN TIME: MIKE DOOLEY (DVD,10011214,1,0
14,MOSES CODE: THE MOVIE (DVD),10012061,1,0
15,MIRACLE MAN: JOHN OF GOD  (DVD),10011215,1,0
16,DAVID ICKE: RADICAL TRUTH KNOWLEGE & REV,10011216,1,0
17,DREAMHEALER: ADAM  (DVD),10012062,1,0
18,"SCIENCE OF MIRACLES, THE (DVD)",10012063,1,0
19,CLOSER THAN CLOSE: SEEKING TRUTH SELF,10011217,1,0
20,EXPERIENCING THE SOUL  (DVD),10012064,1,0
21,MESSAGE FROM WATER  (DVD),10011218,1,0
22,NEW BIOLOGY: WHERE MIND & MATTER MEE(DVD,10012065,1,0
23,KRYON: THE WHOLE STORY  (DVD),10012066,1,0
24,"RISE OF DISASTER CAPITALISM, THE (DVD)",10011219,1,0
25,PRINCESS GRACE (DVD),10011220,1,0
26,JUDY (2020) (DVD),10011221,1,0
27,JUDY (2020) (B/R),10011221,1,0
28,"FEW BEST MEN, A (DVD)",10012067,1,0
29,SCOOBY-DOO AND KISS: R&R MYSTERY (B/R),10012068,1,0
30,SCOOBY-DOO AND KISS: R&R MYSTERY (DVD),10012069,1,0
31,DRIFT: A NEW RACE (MOUNTAIN BIKE) (DVD),10012070,1,0
32,HOME 3D (BR),10011222,1,0
33,AMERICAN GIRL:GRACE STIRS UP SUCCESS DVD,10012071,1,0
34,HOME (MC)(DVD),10011222,1,0
35,HOME (NC)(DVD),10011222,1,0
36,"TERROR, THE/HELLS ANGELS.../LITTLE SHOP.",10012072,1,0
37,LEGO STAR WARS: YODA CHRONICLES (DVD),10012073,1,0
38,"LAWLESS, 3:10 TO YUMA & APPALOOSA (DVD)",10011223,1,0
39,"LAST SALT CARAVAN, THE (DVD)",10011224,1,0
40,LOVE ACTUALLY (DVD),10011225,1,0
41,SPY (BR),10011226,1,0
42,HUMAN PLANET DISC:1 (DVD),10011227,1,0
43,HUMAN PLANET DISC:2 (DVD),10011227,1,0
44,HUMAN PLANET DISC:3 (DVD),10011227,1,0
45,ERNEST GOES TO CAMP/GOES TO JAIL (B/R),10012074,1,0
46,AWAKENING IN THE NOW (DVD),10011228,1,0
47,BANANAS! (DVD),10011229,1,0
48,DEEPAK CHOPRA & TARA STILES YOGA (DVD),10011230,1,0
49,HOME TOWN STORY/TWO WOMEN (DVD),10011231,1,0
50,COMPUTER ANIMATION ADVENTURE (DVD),10012075,1,0
51,COMPUTER ANIMATION EXPERIENCE (DVD),10012076,1,0
52,XXX (DVD),10011232,1,0
53,SNIPER (DVD),10011233,1,0
54,DAY THE 60'S DIED: KEN STATE SHOOT (DVD),10011234,1,0
55,SHORTS  (DVD),10011235,1,0
56,OCEANS (DISNEY) (BLURAY),10011236,1,0
57,WONDERLAND + WADD DOCUMENTARY (DVD),10011237,1,0
58,PET SEMATARY SP. ED  (DVD),10011238,1,0
59,CARS 2 3D  (BLU-RAY),10012077,1,0
60,ESCAPES (DVD),10011239,1,0
61,"OFFICE, THE: CHRISTMAS SPECIAL (DVD)",10011240,1,0
62,PHINEAS AND FERB: FAST AND PHINEOUS (DVD,10012078,1,0
63,"BODYBUILDER AND I, THE  (DVD)",10011241,1,0
64,ANIMATION EXPRESS 2: DISC 1  2011 (DVD),10011242,1,0
65,LETTERKENNY 5 EP: 1-6 (DVD),10011243,1,0
66,"GOOFY MOVIE, A (DVD)",10011244,1,0
67,ONCE UPON A TIME IN CHINA (DVD),10011245,1,0
68,ANIMATION EXPRESS 2: DISC 2  2011 (DVD),10011242,1,0
69,FLOWERS IN THE ATTIC (DVD),10011246,1,0
70,LYNYRD SKYNYRD: DOUBLE FEATURE (DVD),10011247,1,0
71,IVANHOE DISC:2 (DVD),10011248,1,0
72,IVANHOE DISC:1 (DVD),10012079,1,0
73,SARAH MCLACHLAN: MIRRORBALL (DVD),10011249,1,0
74,CHIEFTANS: THE LONG BLACK VIEL (DVD),10012080,1,0
75,CHIEFTANS: LIVE OVER IRELAND (DVD),10012081,1,0
76,DEEP PURPLE (DVD),10011250,1,0
77,W.I.S.O.R. THE ROBO WELDER (DVD),10012082,1,0
78,LORD PETER WIMSEY 5.1 EP: 1-2 (DVD),10011251,1,0
79,ONCE UPON A TIME IN CHINA: NEXT CHAPTERS,10012083,1,0
80,SCOOBY-DOO CURSE OF THE LAKE MONSTER DVD,10011252,1,0
81,RAINFOREST: THE LIMIT OF SPLENDOUR (DVD),10012084,1,0
82,BARBIE & HER SISTERS: GREAT PUPPY ADV(DV,10011253,1,0
83,INDIA REBORN: DISK 1 (DVD),10011254,1,0
84,"SUBSTITUTE, THE 1 & 3 (DVD)",10011255,1,0
85,MAFIA (WIDESCREEN) (DVD),10011256,1,0
86,DEEP PURPLE:COME HELL OR HIGHWATER (DVD),10011257,1,0
87,WHAT WOULD JESUS DO 2: JOURNEY CONT (DVD,10011258,1,0
88,CHILDREN OF THE CORN 25TH ANNIV (B/R),10012085,1,0
89,INDIA REBORN: DISK 2 (DVD),10011259,1,0
90,RESTLESS (2015) (DVD),10011260,1,0
91,BRIGITTE BARDOT: TAKE ONE (DVD) (FRENCH),10012086,1,0
